,article,date
77,"['People in the U.S. with conditions that prevent them from building immunity with COVID-19 vaccines will soon have a way to get adequate protection from the virus.', 'With the FDA’s emergency use authorization today of AstraZeneca’s long-acting antibody cocktail, the roughly 2% of U.S. residents who are immunocompromised will have a treatment that provides protection comparable to what healthy people receive from COVID-19 vaccines.', 'Those 12 and older weighing at least 88 pounds will be eligible for Evusheld, which is a combination of two monoclonal antibodies (tixagevimab and cilgavimab) developed at the Vanderbilt University Medical Center. A dose of Evusheld provides protection for six months.', '“We now have the first antibody therapy authorized in the U.S. to prevent COVID-19 symptoms before virus exposure while also providing long-lasting protection with a single dose,” Mene Pangalos, AstraZeneca’s vice president for biopharmaceuticals R&D, said in a statement. “Evusheld neutralizes all previous SARS-CoV-2 variants to date, and we are working quickly to establish its efficacy against the new omicron variant.”', 'RELATED: AstraZeneca is nearly ready to seek approval for its COVID-19 antibody. Can it stick the landing?', 'Evusheld is not approved for those who are infected or those who have been recently exposed to the virus. It also is not to be used as a substitute for vaccination among those who are recommended to be vaccinated.', 'Eligible to receive the intramuscular injections—which are given in succession—are those with moderate to severely compromised immune systems due to a medical condition or taking immunosuppressive medications. Also eligible are those with a history of severe adverse reactions to COVID-19 vaccines.', 'While vaccines depend on intact immune systems to generate neutralizing antibodies and infection-fighting cells, AZ’s therapy depends on lab-made antibodies that remain in the body for months.', ""The two antibodies in the cocktail regimen attach individually to SARS-CoV-2's spike protein, stopping the virus from entering the body’s cells and causing infection. Because tixagevimab and cilgavimab bind to different, nonoverlapping sites on the spike protein, it is believed they are more effective than using either alone."", 'The approval is based on data from two phase 3 trials. In the PROVENT study, one 300-mg dose reduced the risk of symptomatic COVID-19 by 83% compared to placebo over six months. More follow-up is needed to establish the full duration of protection provided by Evusheld, the company said.', 'RELATED: With FDA scrutinizing its data, AstraZeneca shows durability of COVID-preventing antibodies', 'Brian Koffman, the chief medical officer of the Chronic Lymphocytic Leukemia Society, lauded the approval.', '“One of the primary questions I keep getting asked by patients is, ‘When can I hug my grandchildren again?’” Koffman said in a statement. “As a physician and person with a weakened immune system, l am filled with hope now that Evusheld will soon be available to those who can’t count on vaccination alone to provide the protection they need.”']","Dec 8, 2021 05:30pm"
78,"['The COVID-19 vaccine produced by Pfizer and BioNTech, Comirnaty, provides less protection against the omicron variant than it did against wild-type COVID and other variants, the companies said on Wednesday.', 'They also reported that a third (booster) shot is needed to gain protection against omicron comparable to that provided by the two-dose series against wild-type COVID-19 and other variants.', 'The announcement from the companies came hours after the release of a study by scientists in South Africa that showed the omicron variant could largely evade the antibodies generated by the Pfizer-BioNTech vaccine.', 'The lab study also indicated that booster shots would help restore some level of protection and that the original two-dose series was still likely to prevent a severe form of the disease.', ""Pfizer-BioNTech's latest results are also from a lab study. Serum was analyzed from vaccine recipients three weeks after their second dose and other recipients a month after their booster shot."", 'Sera from those who received two doses showed an average of more than a 25-fold reduction in neutralization titers against omicron compared to wild-type. A third dose of the Pfizer/BioNTech vaccine showed a 25-fold increase in antibody titers.', '“Three doses of our vaccine neutralize the omicron variant whereas two doses show significantly reduced neutralization of this new variant,” Ozlem Tureci, BioNTech’s chief medical officer, said in a virtual press conference on Wednesday.', 'While two doses of the mRNA vaccine may not be sufficient to protect against infection from omicron, the companies believe that vaccinated individuals will remain protected against severe forms of the disease as the vast majority of epitopes targeted by vaccine-induced T cells are not affected by omicron’s mutations.', '“Eighty percent of the T-cell epitopes that are induced by the current vaccine are still present in the omicron variant, and since every individual has usually multiple CD8 T-cell epitopes being recognized, we assume there will be a robust T-cell response against the omicron variant,” BioNTech CEO Ugur Sahin said.  ', 'RELATED: BioNTech CEO Sahin urges calm amid omicron’s spread, figures new vaccine will eventually be needed for variant', ""The companies' results are preliminary and much more will be known in “six to eight weeks,” Sahin said, as “real-world data can mature.”"", ""BioNTech is developing an omicron-specific vaccine, which if needed, can be made available commercially by March, pending regulatory approvals. The company's chief operating officer Sierk Poetting said that once the plasmid starting material is tweaked, the mRNA vaccine production process would remain the same for manufacturing an omicron-specific shot."", 'Analysts at Cantor Fitzgerald say that Pfizer and BioNTech still should be able to produce 4 billion vaccine doses, regardless of whether they need to shift production to an omicron-specific shot.', 'The analysts also believe that the durability of Pfizer’s vaccine sales “remain underappreciated” on Wall Street, while pointing out that Pfizer is creating a “best-in-class” COVID-19 franchise with strong data also from its oral antiviral treatment Paxlovid.  ', 'In Europe, analysts at ODDO BHF concluded that while omicron is “more transmissible,” it also will lead to fewer hospitalizations. “In such a scenario, it is still advisable to immunize the population with vaccines and regularly boost the immune response instead of letting the virus spread,” the analysts wrote.', ""RELATED: Pfizer, Moderna, J&J and AstraZeneca assess omicron's effect on their COVID-19 vaccines"", 'ODDO BHF also warns that a “black swan lingers in the background,” where the pandemic is over within a few months.', '“Would vaccines then still be needed?” ODDO wrote. “The devil’s advocate question in this case potentially is: Why would one need a vaccine against a cold virus?”', 'But Pfizer CEO Albert Bourla had words of caution on Wednesday morning.', '“I don’t think it’s good news to have something that spreads fast,” Bourla told The Wall Street Journal during an interview at the paper’s CEO Council Summit. “Spreads fast means it will be in billions of people, and another mutation may come. You don’t want that.”']","Dec 8, 2021 11:03am"
79,"['Singapore has attracted a slate of vaccine heavyweights in recent years. Now, a Merck joint venture is getting in on the action, following in the footsteps of companies such as Thermo Fisher, Sanofi and BioNTech. ', 'Merck and Wellcome Trust’s Hilleman Laboratories on Monday unveiled a pilot manufacturing facility for vaccine development in Singapore. Comprising an R&D center and a clinical-stage factory, the new production and development hub will support Hilleman’s mission to create affordable biologics and vaccines for Singapore as well as low- and middle-income countries. It will also equip the country with manufacturing firepower to help tackle future pandemics, Hilleman said in a release.', 'The company will lay out 80 million Singapore dollars ($58 million) over the next five years to boost operations, infrastructure and capacity at the site. Hilleman also says it will recruit up to 50 scientists, engineers and managers in the country. ', 'The Singapore Economic Development Board (EDB) will help fund the project, Hilleman said. EDB’s backing will allow Hilleman to expand its product development pipeline and tap into local talent and resources “to fast-track the development of novel therapies to tackle the high disease burden of preventable diseases in developing countries.”', 'RELATED: Takeda breaks ground on $14M green building at Singapore manufacturing plant', 'On the production side, Hilleman’s pilot facility includes a 30,000-square-foot production plant, which has been pegged to supply clinical trial materials for biologics and vaccines up to phase 2. The plant is expected to be fully operational by early 2023.', 'Hilleman’s Singapore R&D facility, which kicked off operations in April, focuses on early development including candidate selection, design, early manufacturing process development and preclinical studies. By setting up its R&D and production facilities in tandem, Hilleman aims to provide end-to-end product development services from concept to manufacturing.', 'Merck and Wellcome Trust set up Hilleman Laboratories in 2009 with a mission to develop vaccines and biologics against infectious diseases in low- and middle-income countries.', ""RELATED: Novartis inks 3rd COVID-19 production pact, this time for Roche's arthritis med Actemra"", 'Merck and Hilleman aren’t the only drugmakers establishing vaccine operations in Singapore. CDMO major Thermo Fisher Scientific last October unveiled plans to stand up a new, $130 million facility in Singapore that will house two sterile filling lines with capacity for up to 30 million doses of drugs and vaccines per month. The site is expected to come online in 2022, Thermo Fisher said last year.', 'Elsewhere, Sanofi in April said it would plug 400 million euros into a new vaccine production site in Singapore over the next five years. The plant will feature a central unit equipped with several fully digitized modules. This will allow Sanofi to turn out three or four vaccines at once, versus one at its current industrial sites.', ""Plus, Pfizer's COVID-19 vaccine partner BioNTech in May said it would partner with the local government to set up a Southeast Asia regional headquarters in Singapore. The plan includes a highly automated mRNA manufacturing facility. ""]","Dec 6, 2021 11:00am"
80,"[""With the omicron variant fueling new COVID-19 concerns, the CEO of leading vaccine player BioNTech says he's not sure whether a different shot will be needed to protect against the new strain."", ""“This variant might be able to infect vaccinated people,” BioNTech's Ugur Sahin said Friday during the Reuters Next conference. “We anticipate that infected people who have been vaccinated will still be protected against severe disease.”"", 'In another interview this week, Sahin urged people to remain calm.', '“Our message is: Don’t freak out, the plan remains the same: Speed up the administration of a third booster shot,” Sahin told the Wall Street Journal.', 'The words from the BioNTech boss are in contrast to the ominous tone taken earlier this week by Moderna CEO Stéphane Bancel, who told the Financial Times there would be a “material drop” in mRNA vaccine efficiency with the omicron variant.', '“All the scientists I’ve talked to,” Bancel said, “are like, ‘This is not going to be good.’”', 'RELATED: Moderna, Regeneron warn about the effectiveness of COVID-19 drugs, vaccines against the omicron variant', 'BioNTech and Pfizer quickly developed the world’s most prolific COVID-19 vaccine, distributing more than 2 billion doses of Comirnaty in less than a year.', 'Sahin said the companies had anticipated the emergence of a highly mutated variant but expected it to come along next year.', 'Omicron was first detected in South Africa and has since been observed in more than a dozen other countries globally. Last week, the World Health Organization classified omicron as a “variant of concern.”', '“I believe in principle at a certain timepoint we will need a new vaccine against this new variant,” Sahin said. “The question is how urgent it needs to be available.”', 'Pfizer and BioNTech have said they could adapt a variant-specific vaccine within six weeks and ship batches within 100 days. Moderna said it could have a new vaccine available early next year, but Bancel said it would take several months for the new shot to be produced at scale.', ""RELATED: Pfizer, Moderna, J&J and AstraZeneca assess omicron's effect on their COVID-19 vaccines"", 'Among the questions posed by the new variant is how transmissible it is. BioNTech says it’s impossible to know this early in its progression.', '“This is something we have to learn with the passage of time,” Ozlem Tureci, BioNTech’s chief medical officer said at the Reuters conference. “I mean in the daily, weekly horizon and experts are monitoring that closely.”']","Dec 3, 2021 09:40am"
81,"['While Sanofi hasn’t been at the forefront of global COVID-19 vaccination efforts, the company still has big growth expectations in the vaccines field. Already the world’s top flu shot player, Sanofi sees mRNA, pneumococcal vaccines and respiratory syncytial virus (RSV) as three areas of opportunity going forward.', 'By expanding the reach of its existing offerings, launching new vaccines and advancing pipeline shots, Sanofi expects to more than double its vaccine sales by the end of the decade from a starting point of 2018’s 5.11 billion euros, execs said during a vaccines investor day Wednesday.', 'Sanofi expects the global flu vaccine market to more than double to 15 billion euros by 2030, with its own shots serving as a “key driver of that market expansion,” Sanofi’s head of vaccines, Thomas Triomphe, said during the event.', ""Further, the company aims to launch its RSV candidate nirsevimab in 2023, and its 21-valent pneumococcal vaccine candidate is in phase 1/2 testing, execs said Wednesday. If successful, the latter program could enter a lucrative market currently dominated by Pfizer's multibillion-dollar Prevnar franchise. As for RSV, that has long been cited as a top target for vaccine developers."", 'Aside from the RSV and pneumococcal candidates, Sanofi cited next-gen flu programs—plus candidates against chlamydia and acne—as potential future launches. In all, the company expects the diseases its vaccines will address to represent a total market size of 50 billion euros by 2030.', ""RELATED: Sanofi CEO: mRNA is likely the 'go-to' vaccine tech for a pandemic, but the 'bar is high' in other diseases "", ""After taking the Sanofi reins in 2019, CEO Paul Hudson placed an emphasis on the company's growth pillars, with vaccines and immunology superstar Dupixent front and center. Wednesday, Hudson said vaccines will be a “resilient and sustainable contributor to our growth and profitability” going forward. "", 'Last year, the company’s vaccine revenues grew 9% at constant exchange rates to nearly 6 billion euros thanks in part to “record demand” for Sanofi’s flu shots. At Wednesday’s event, the company reiterated its goal of mid- to high-single-digit annual revenue growth for the franchise through 2025.  ', 'While Sanofi has long been a top vaccine player globally, during the COVID-19 response, the company’s GlaxoSmithKline-partnered shot encountered delays that led the partners to cede the lucrative market to mRNA players Pfizer and Moderna. Those companies are now in the process of generating tens of billions of dollars with their successful mRNA shots, while the established vaccine giants Sanofi and GlaxoSmithKline work to finish late-stage testing of their vaccine candidate.  ', 'RELATED: Sanofi snaps up Origimm for early-phase acne vaccine, opening new front in mRNA strategy ', 'As part of the vaccine investor day, Sanofi said it had bought Origimm for access to the company’s early-stage acne vaccine. Earlier this year, the company picked up its mRNA partner Translate Bio in a $3.2 billion deal.  ']","Dec 1, 2021 01:29pm"
82,"['VBI Vaccines has toiled a while to earn its first FDA approval. But for the Massachusetts-based company, the timing may be perfect.', 'In gaining a green light for its hepatitis B shot, VBI is poised to take advantage of what figures to be a growing market. A month ago, a CDC advisory committee voted unanimously to strengthen its recommendation for hepatitis B vaccination, saying that those aged 19 to 59 “should” receive shots. The current guidance for adults is that they “may” get the vaccine and only those deemed at risk “should” receive it.', 'With the FDA blessing, PreHevbrio joins three other hepatitis B shots on the market—Dynavax’s Heplisav-B, GlaxoSmithKline’s Engerix-B and Merck’s Recombivax HB.', 'Already approved in Israel, PreHevbrio is differentiated from the others as a three-antigen vaccine. In a head-to-head phase 3 trial, PreHevbrio provided higher seroprotection than the monovalent Engerix-B.', '“The feedback we’re getting is that this is clearly a highly effective vaccine, which is safe and well-tolerated,” VBI CEO Jeff Baxter said during an investor’s call. “And particularly, statistically, significantly, we are better in adults age 45 and over.”', 'The next order of business for VBI will be to receive endorsement from the Advisory Committee on Immunization Practices.', '“Just getting that recommendation alongside (the others) is a very important first step,” Baxter said. “That creates a level playing field for PreHevbrio to compete against those vaccines.”', 'RELATED: With ACIP recommendation, is tiny Dynavax set to win the hepatitis B sweepstakes with Heplisav-B?', 'Baxter expects a nod from the ACIP to come before the end of the first quarter of 2022, provided that COVID variants don’t “hijack” the work of the committee, he said.', 'The FDA based its approval on two phase 3 studies showing PreHevbrio elicited higher rates of seroprotection compared with Engerix-B in subjects age 18 and older (91% vs. 76%) and 45 and older (89% vs. 73%). The safety analysis of both studies demonstrated good tolerability with no unexpected reactions.', 'Hepatitis B has infected more than 290 million people globally. HBV is the leading cause of liver disease and, with current treatments, is difficult to cure. Many patients go on to develop liver cancers. An estimated 900,000 people die each year from complications of chronic HBV such as liver decompensation, cirrhosis, and hepatocellular carcinoma.', 'Low awareness of HBV leads to increased risk of transmission, with 68% of chronically infected adults unaware of their infection status. With adult vaccination rates remaining persistently low at around 25% for adults 19 and older, approximately 200 million adults are left unprotected.', 'RELATED: CEPI teams up with VBI Vaccines to beat out COVID-19 variants in $33M pact', 'The World Health Organization has established a goal of eliminating HBV by 2030.', 'Baxter said he expects the recommendation from the CDC will expand the market from $320 million per year in the United States to more than $500 million a year, with Europe and China likely to follow.', '“We could be launching into a very hot market for the next several years,” Baxter said.']","Dec 1, 2021 10:34am"
83,"['As the world assesses the threat posed by the COVID-19 omicron variant, two top companies producing pandemic drugs and vaccines have warned that their current offerings may not be effective against the variant.', 'On Tuesday, Regeneron sounded (PDF) a disquieting alarm bell, saying its successful COVID-19 antibody treatment may not work against the elusive new strain. For his part, Moderna CEO Stéphane Bancel predicted a ""material drop"" in mRNA vaccine efficacy.', '“I think it’s going to be a material drop,” Bancel told the Financial Times of the reduced efficacy current vaccines will have against the variant. “I just don’t know how much because we need to wait for the data. But all the scientists I’ve talked to … are like, ‘This is not going to be good.’”   ', 'Pfizer and BioNTech have said they could adapt a variant-specific vaccine within six weeks and ship batches within 100 days. Moderna said it could have a new vaccine available early next year, but Bancel said on Tuesday that it would take several months for the new shot to be produced at scale.', '“[Moderna] and Pfizer cannot get a billion doses next week. The math doesn’t work. But could we get the billion doses out by the summer? Sure,” Bancel told the FT, adding that that it could produce between 2 and 3 billion doses in 2022.', ""RELATED: Pfizer, Moderna, J&J and AstraZeneca assess omicron's effect on their COVID-19 vaccines"", 'As for Regeneron, the company said in a Tuesday statement that the ""mutations present in the omicron variant indicate that there may be reduced neutralization activity of both vaccine-induced and monoclonal antibody-conveyed immunity."" The declaration is based on prior “in vitro analyses and structural modeling,” Regeneron said, adding that it has not performed any testing on omicron’s resistance to vaccine- or antibody-induced immunity.', 'Omicron was first detected in South Africa and has since been observed in more than a dozen other countries globally. On Friday, the World Health Organization classified omicron as a “variant of concern.”', '“We shouldn’t need another wake-up call,” Tedros Adhanom, the director of the WHO, said. “We should all be wide awake to the threat of this virus.”', 'RBC Capital Markets addressed the variant in a conference call with two epidemiological experts. RBC compared the emergence of omicron to the delta variant, which progressed slowly in June but was surging by August.', '“Omicron is potentially very concerning,” the analysts wrote in a note to investors, while cautioning that much more information needs to be gathered to understand its “impact on individual morbidity and mortality.”', '“We believe the emergence of omicron reminds that the road to normalcy will inevitably have fits and starts and COVID-19 will remain an important force for some time, but we continue to believe the worst of COVID-19’s dominance is likely behind us,” the analysts wrote.', 'RELATED: Surprise COVID-19 antibody sales of $804M help Regeneron trounce expectations in third quarter', 'Antibody sales have provided a huge boost to Regeneron. In the second quarter of this year, the company reported sales of $2.59 billion, which was more than the entire revenue figure the company generated in the previous quarter.', 'Regeneron says that it has other antibody candidates in the pipeline that have the potential to be effective against the omicron variant. One antibody therapy is in clinical trials, with others nearing clinical readiness.']","Nov 30, 2021 09:40am"
84,"[""AstraZeneca’s chief executive Pascal Soriot is challenging the notion that his company's vaccine is inferior to the mRNA vaccines from Moderna and Pfizer."", 'In fact, he’s claiming that differing hospitalization rates between the U.K. and the rest of Europe suggest that the AZ vaccine may provide longer-lasting protection against severe disease in the elderly than the blockbuster mRNA shots.', 'Still, Soriot admitted that there was no data to support his claim.', 'In speaking to BBC, Soriot said Tuesday that the heightened T-cell immunity afforded by the AZ vaccine may last longer than the antibody protection offered by the mRNA vaccines.', '“Everybody’s focused on antibodies but you see them decline over time,"" Soriot told BBC 4 Radio, as quoted by the Guardian. ""What remains very important is the T-cell response. As soon as the virus attacks you, they wake up and they come to the rescue and they defend you. But it takes them a little while.”', ""RELATED: AstraZeneca's having second thoughts about its COVID vaccine business as FDA filing drags on"", 'Soriot points to the anecdotal example of the U.K., where uptake of the vaccine was high among the elderly in the initial months of the rollout. Soriot says this explains why the hospitalization rate has remained low in the U.K., while the infection rate remains high.', 'This effect is not evident through the rest of Europe, Soriot claims, largely because much of the continent shunned the vaccine after Germany recommended against providing it to those 65 and older in January, citing lower efficacy. Several other European countries followed suit, though they have since reversed their decisions as more reliable long-term data has emerged,', '“I’m not saying there was any mistake done by anybody,” Soriot told the BBC. “I’m just saying that there’s a lot of data that still need to be made available that we don’t have.”  ', 'Europe’s relationship with the AZ vaccine has been checkered. In addition to the confusion over its efficacy in the elderly, there were concerns over rare and severe blood clots, which convinced many countries to temporarily suspend its use among younger people.  ', 'More drama ensued when AZ ran into manufacturing delays and failed to meet supply pledges, prompting the European Union to sue. The bloc then declined to renew a supply agreement with AZ, opting instead to buy nearly 2 billion doses from Pfizer-BioNTech.', 'RELATED: AstraZeneca creates unit to handle its COVID-19 vaccines, antibody treatments', 'As AZ tries to drum up future business for its vaccine, expect the company to preach the T-cell mantra.', '“What I’m saying is that T-cells do matter and in particular it relates to the durability of the response, especially in older people, and this vaccine has been shown to stimulate T-cells to a higher degree in older people,” Soriot said.', 'As of last week, more than two billion doses of the vaccine have been delivered globally, AZ said.']","Nov 23, 2021 09:31am"
85,"['Six months ago, Pfizer and BioNTech secured emergency use authorization for their COVID-19 vaccine in 12- to 15-year-olds. Now, the companies have provided long-term data that could bring a full approval in the age group.', 'In a follow-up study of 2,228 children, the vaccine was 100% effective in preventing infection seven days to four months after the second dose. There were no serious safety concerns observed in those with at least six months of follow-up.', 'With the results, the companies will file for full FDA approval in the age group. In August, the shot won an FDA nod in people 16 and older.', 'Meanwhile, Moderna, maker of the world’s other highly successful mRNA COVID-19 vaccine, still has not received an emergency authorization for its shot in children ages 12 to 17. The FDA revealed in late October that it was delaying its decision on Spikevax, saying it needed more time to assess the risk for myocarditis.', ""RELATED: Pfizer's COVID-19 vaccine scores FDA nod in adolescents, enabling a wider rollout"", 'Last week, the FDA endorsed both the Pfizer and Moderna COVID-19 shots to be used as boosters for people 18 and older. The boosters are interchangeable and to be administered no sooner than six months after the original series.  ', 'The positive data and approvals come amid increased concern in the U.S. over the recent rise in COVID-19 cases, primarily in the mountain states and now spreading to the Midwest and Northeast.  ', ""RELATED: FDA delays decision on Moderna's COVID-19 vaccine in 12-17 age group because of myocarditis concerns: WSJ"", '“These additional data provide further evidence in our vaccine’s safety and effectiveness profile in adolescents,” Pfizer CEO Albert Bourla said in a statement. “This is especially important as we see rates of COVID-19 climbing in this age group in some regions, while vaccine uptake has slowed.”']","Nov 22, 2021 09:14am"
86,"['With Pfizer speeding along following a recent COVID-19 booster approval and a nod for the shot’s use in children aged 5 to 11, the company has bumped (PDF) its projection for 2021 sales of its Comirnaty vaccine once again. The company now expects a whopping $36 billion in sales this year, up from a prior projection of $33.5 billion.', 'So what about next year? Just as it has done throughout 2021, Pfizer remains hesitant to project future revenues and is unwilling to speculate beyond the contracts that have already been signed.', 'When the company presented its third quarter earnings on Tuesday, it said that those agreements add up to $29 billion in 2022 sales of 1.7 billion doses.', '“We’ll continue to update the numbers for 2022 based on the contracts that we’ve signed,” Pfizer CFO Frank D’Amelio said. “This year as we’ve updated our guidance each quarter, we’ve been able to increase our revenue guidance for the COVID vaccine because of incremental contracts, signed from one quarter to the next.”', 'Pfizer is on track to produce 3 billion doses this year and will have distributed 2.3 billion by the end of the year, it said. Next year the company says it will produce 4 billion doses as it has increased the efficiency of its manufacturing process.', 'D’Amelio said that Pfizer has cut the time it takes to produce the vaccine from 110 days to 30.', '“Capacity will not be a challenge for us,” he said.', 'RELATED: Pfizer eyes $26B in COVID-19 vaccine sales for the year, with $3.5B already in the bag', 'More than 75% of the revenues recorded for Comirnaty have come from supplying countries outside of the United States, the company said. Pfizer has pledged to deliver 2 billion doses to middle- and lower-income countries through 2022, with 1 billion of those provided on a not-for-profit basis to the U.S., which will send them free of charge to the world’s poorest countries. At least half of the 2 billion pledge will be supplied by the end of this year, the company said.', 'As for supplying vaccines to developed countries in 2022, CEO Albert Bourla said that the company is in negotiations with many nations.', 'Fueled by the vaccine revenues, Pfizer reported sales of $24.1 billion in the quarter, a 130% increase from last year. Excluding Comirnaty, revenues still were up by 7%, to $11.1 billion. The company now projects annual revenue to come in between $81 and $82 million.', 'Sales of blood thinner Eliquis came in at $1.35 billion, a 19% increase on the third quarter of last year, due in part to continued adoption in non-valvular atrial fibrillation and oral anti-coagulant market share gains.', 'RELATED: Pfizer now expects COVID vaccine sales to reach $33.5B this year, a whopping $7.5B bump from its estimate 3 months ago', ""Heart failure drugs Vyndaqel and Vyndamax generated $501 million, an increase of 42% in third quarter thanks largely to continued uptake in the rare heart disease transthyretin amyloid cardiomyopathy in the U.S. But the showing didn't measure up to the 77% increase the franchise chalked up year-over-year in the second quarter."", 'Sales for Xeljanz were at $610 million, a 7% drop from last year, while oncology drug Ibrance came in at $1.38 billion, a 1% increase. Revenue for vaccines from the Prevnar family were at $1.45 billion, a 7% decrease from 2020.', 'The drop was driven primarily by a 36% decline in the adult indication in the U.S. thanks to the “ongoing prioritization of primary and booster vaccination campaigns for COVID-19 by U.S. health authorities,"" Bourla said.', ""Analysts noted that the positive vaccine news somewhat overshadowed the shaky performance of several of Pfizer's key brands.   "", 'The vaccine numbers ""more than offset weakness across Prevnar, Ibrance, Vyndaqel and Xeljanz in the quarter—largely reaffirming the narrative of Comirnaty outperformance and questions over core business growth,"" wrote Barclays in a note to investors.']","Nov 2, 2021 12:05pm"
87,"['After a two-month hiatus, Eli Lilly’s COVID-19 antibody treatment is back in the game and hoping for a successful second chapter.', ""On Tuesday, the company revealed that it's has struck a deal with one of its loyal customers, the United States government, which has agreed to purchase 614,000 doses of the therapy for $1.29 billion."", 'The combination of etesevimab and bamlanivimab is a treatment for mild to moderate COVID-19 or for post-exposure prophylaxis in high-risk individuals. Lilly will provide at least 400,000 doses by the end of the year, with the rest guaranteed by the end of January 2022.', 'A year ago, Lilly’s combo was the first antibody therapy to gain emergency use authorization for the treatment of COVID-19. But by the spring, the FDA began sidelining the medicine in some states because of its ineffectiveness against variants, primarily the gamma first found in Brazil and the delta-plus first identified in India. In June, the U.S. regulator halted all distribution of the treatment.', ""RELATED: It's back: Eli Lilly's COVID-19 antibody combo makes its return after 2 months on the sidelines"", 'In August, the FDA reactivated the authorization but restricted use of Lilly’s antibodies to states where certain variants accounted for less than 5% of cases. At that time, the nod opened use of the treatment in more than 20 states. Last week, when the FDA released (PDF) its updated list of states and U.S. territories under the 5% threshold, all were included and eligible for Lilly’s antibodies.', 'Now it’s up to Lilly to play catch up. In the absence of the company’s treatment, Regeneron’s antibodies gained favor. In the second quarter, when Lilly’s antibody sales fell to $149 million after exceeding $800 million in each of the previous two quarters, Regeneron’s sales skyrocketed to $2.6 billion. Regeneron is scheduled to reveal its third-quarter earnings on Thursday.', ""RELATED: Regeneron's COVID-19 antibodies rake in $2.6B, reflecting their market dominance and blowing away estimates"", 'Now, Lilly has another COVID-19 antibody player to contend with in GlaxoSmithKline and Vir Biotechnology. In May, the FDA sanctioned their treatment, sotrovimab. Last week, GSK reported (PDF) third-quarter sales of $156 million for its antibodies. In an SEC filing in September, Vir said that agreements have been made for the sale of more than 420,000 doses of sotrovimab, including a ""portion of those procured by the U.S. government.""', 'Meanwhile, even though Lilly\'s drugs will see continued use in the U.S., the company pulled its application to the European Medicines Agency for the combo. The company said that because of low demand there, it\'s ""not in a position to generate the additional data"" needed to proceed with its EMA application.']","Nov 2, 2021 09:24am"
88,"['Kids ages 5-11 in the United States are now eligible for vaccination against COVID-19. On Friday afternoon, the FDA authorized the Pfizer-BioNTech mRNA vaccine, Comirnaty. The Pfizer shot is the only COVID jab with an FDA nod for those younger than 18.', 'The shot could be made available for kids soon. First it must pass muster with the CDC, which will conduct an advisory meeting next week.', 'The endorsement opens up the vaccine to a population of 28 million kids in the U.S. The Pfizer dosage for children is one-third the size of that for those 12 years and older. The second of the two-shot series is to be administered three weeks after the first.', ""RELATED: FDA panel recommends Pfizer's COVID-19 vaccine for kids, setting it up for approval"", 'It will be interesting to see how the shot is received considering the rousing debate on whether inoculating kids would reduce transmission of the virus. There also is some hesitancy from parents who have questions about the shot’s safety.', '“As a mother and a physician, I know that parents, caregivers, school staff and children have been waiting for today’s authorization. Vaccinating younger children against COVID-19 will bring us closer to returning to a sense of normalcy,” acting FDA commissioner Janet Woodcock said in a statement.', ""On Nov. 2, the CDC's Advisory Committee on Immunization Practices will discuss the merits of the vaccine for this age group and whether there should be any restrictions on its use. After that, CDC director, Rochelle Walensky, will make a final decision before the vaccine becomes widely available."", 'A positive recommendation from the FDA’s Vaccines and Related Biological Products Advisory Committee on Tuesday set the vaccine up for a green light. The panel voted 17-0, with one abstention, to extend the vaccine to kids of this age group.', 'The committee’s recommendation was based on data showing efficacy of 90.7% and a strong safety profile in a trial of 2,268 kids between five and 11 years. Additionally, the shot “effectively neutralized the delta variant,” William Gruber, M.D., Pfizer’s VP of vaccine clinical research and development, told the panel.', 'RELATED: Pfizer requests FDA nod for COVID-19 shot in kids 5 to 11, but convincing parents might be a tough sell', 'Kids ages 5-11 have accounted for 9% of cases reported in the U.S., and the current rate is “near the highest” of any age group, Doran Fink, M.D., told the committee on Tuesday.', ""But Pfizer's ability to capitalize on a green light for its COVID vaccine in kids could be hampered by resistance among many parents. Only 34% of parents in the U.S. said they would vaccinate their children “right away,” according to a poll conducted last month by the Kaiser Family Foundation. The survey was done after Pfizer released its data in this age group. In the same poll, 24% of parents said they definitely would not vaccinate their children while 32% would “wait and see” how the vaccine is working."", ""Moderna's competing mRNA vaccine is not yet approved in the pediatric setting. A decision in the 12 to 17 age group was due this month but got delayed after four Nordic countries suspended use of the Moderna shot in those under age 30 because of myocarditis concerns. In the company's study of 3,700 children between the ages of 12 and 17, there were no reports of myocarditis. "", 'On Monday, Moderna announced positive data from a trial testing the shot in kids between the ages of 6 and 11. The company added that it will submit the data to regulators soon. ']","Oct 29, 2021 03:58pm"
